tender_id,tender_name,start_price,tender_security,advance_money,currency,publication_date,selection_phase,legislation,url,procedure,for_small_business,customer_region_code,customer_region,customer_name,customer_inn,winner_name,winner_inn,final_price
0132300002820000047,"Выполнение подрядных работ по объекту ""Реконструкция канализационно-очистных сооружений в р.п. Вача Вачского района Нижегородской области""",571883910.00,28594195.50,30.00%,RUB,2020-08-11 16:27:33,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0132300002820000047,Электронный аукцион,FALSE,52,Нижегородская область,Администрация Вачского Муниципального Района Нижегородской обл.,5208002260,,,
0158300039819000176,Строительство мостового перехода через балку Сухо-Соленовская в створе проспекта Лазоревый в г.Волгодонске Ростовской области,7808705950.00,78087059.50,10.00%,RUB,2019-09-27 14:14:30,Признана несостоявшейся,44-ФЗ,http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0158300039819000176,Электронный аукцион,FALSE,61,Ростовская область,Администрация г. Волгодонска,6143032957,,,
0158300019520000012,Строительство городского Дворца культуры «Шахтер» в г. Донецке,528593300.00,5285933.00,15.00%,RUB,2020-02-13 17:48:39,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0158300019520000012,Электронный аукцион,FALSE,61,Ростовская область,Администрация г. Донецка,6145003334,,,
0164200003019003017,"Выполнение работ по строительству объекта капитального строительства: Общеобразовательная школа на 825 ученических мест с пристройкой для дополнительного образования на 275 мест по адресу: Тамбовская обл., г. Котовск, ул. Октябрьская, д.38"" с использованием проектной документации повторного использования",598660630.00,17959818.90,30.00%,RUB,2019-10-22 10:55:17,Признана несостоявшейся,44-ФЗ,http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0164200003019003017,Электронный аукцион,FALSE,68,Тамбовская область,Администрация г. Котовска Тамбовской обл.,6825001535,,,
0175200000421000202,"Рекультивация объекта размещения ТКО по адресу: Республика Крым, г. Судак, полигон ТБО, трасса Судак-Богатовка, в районе здания МЧС",1032721034.00,51636051.70,10.00%,RUB,2021-03-26 10:29:02,Завершена,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ok504/view/common-info.html?regNumber=0175200000421000202,Открытый конкурс в электронной форме,FALSE,91,Республика Крым,Администрация г. Судака Республики Крым,9108009140,ООО «Континент»,7730122318,950103351.28
0148200005421000022,"Выполнение строительно-монтажных работ по объекту: ""Школа на 1100 мест по адресу: Московская область, г.о. Балашиха, мкр. Ольгино (ПИР и строительство)""",1143019370.86,57150968.54,20.00%,RUB,2021-02-18 19:55:56,Завершена,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ok504/view/common-info.html?regNumber=0148200005421000022,Открытый конкурс в электронной форме,FALSE,50,Московская область,Администрация Городского Округа Балашиха,5001106672,ООО «Инвестиционно-Строительная Компания «Родина»,7723451784,1125874080.30
0141300023519000104,Реконструкция канализационных очистных сооружений (в г. Волгореченске Костромской области),673182810.00,20195484.30,30.00%,RUB,2019-10-24 11:56:24,Признана несостоявшейся,44-ФЗ,http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0141300023519000104,Электронный аукцион,FALSE,44,Костромская область,Администрация Городского Округа г. Волгореченск Костромской обл.,4431001782,,,
0141300023519000099,Реконструкция канализационных очистных сооружений (в г. Волгореченске Костромской области),673182810.00,20195484.30,30.00%,RUB,2019-10-08 15:21:53,Признана несостоявшейся,44-ФЗ,http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0141300023519000099,Электронный аукцион,FALSE,44,Костромская область,Администрация Городского Округа г. Волгореченск Костромской обл.,4431001782,,,
0132600001220000045,"Строительство объекта ""Система канализации с очистными сооружениями производительностью 1600 м3/ сут в г. Перевоз Нижегородской области""",641534050.00,32076702.50,50.00%,RUB,2020-08-05 21:09:56,Завершена,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0132600001220000045,Электронный аукцион,FALSE,52,Нижегородская область,Администрация Городского Округа Перевозский Нижегородской обл.,5225014724,ООО «Ремстрой»,5211759815,599834336.75
0142200001320015993,"Выполнение строительно-монтажных работ по объекту: ""Строительство общеобразовательной школы на 1600 мест, расположенной по адресу: Самарская область, г. Тольятти, Автозаводский район, квартал 20""",1054695818.51,52734790.93,10.00%,RUB,2020-09-21 16:13:32,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0142200001320015993,Электронный аукцион,FALSE,63,Самарская область,Администрация Городского Округа Тольятти,6320001741,,,
